,Country,City,Date,Max Temp,Cloudiness,Humid,Latitude,Longitude,Wind Speed
127,AR,General Roca,1651936821,68.92,8,28,-39.0333,-67.5833,9.37
128,YE,Muhafazat Lahij,1651936822,89.62,7,41,13.1667,44.5833,10.74
129,CA,Inuvik,1651936822,32.86,20,69,68.3499,-133.7218,6.91
130,ZA,Saldanha,1651936715,60.67,1,66,-33.0117,17.9442,24.81
131,CA,Tuktoyaktuk,1651936449,28.35,100,93,69.4541,-133.0374,5.57
132,FI,Rovaniemi,1651936824,51.21,0,32,66.5,25.7167,13.8
133,ID,Bengkulu,1651936408,78.21,100,88,-3.8004,102.2655,12.17
134,BR,Seabra,1651936824,82.45,54,41,-12.4186,-41.7703,12.35
135,RU,Chara,1651936825,36.18,5,55,56.9064,118.2631,1.63
136,RU,Muravlenko,1651936826,14.22,22,88,63.7898,74.523,5.61
137,MX,Totolapan,1651936826,91.15,64,50,18.5167,-96.1833,2.77
138,US,Weston,1651936782,90.01,20,64,26.1004,-80.3998,13.8
139,MG,Ihosy,1651936827,68.92,39,85,-22.4,46.1167,1.81
140,AR,Mar del Plata,1651936468,66.87,0,75,-38.0023,-57.5575,12.66
141,TL,Airai,1651936447,60.53,47,96,-8.9266,125.4092,3.94
142,CA,Ucluelet,1651936659,45.09,74,89,48.9329,-125.5528,1.01
143,ZA,Upington,1651936829,68.38,0,37,-28.4478,21.2561,9.22
144,MX,Cabo San Lucas,1651936526,80.91,0,57,22.8909,-109.9124,0.0
145,RU,Saskylakh,1651936547,11.17,79,90,71.9167,114.0833,12.66
146,IS,Hofn,1651936450,44.02,74,67,64.2539,-15.2082,15.39
147,RU,Pevek,1651936490,19.85,99,100,69.7008,170.3133,5.48
148,BR,Camaçari,1651936830,85.77,20,53,-12.6975,-38.3242,9.22
149,US,Hamilton,1651936383,55.72,100,87,39.1834,-84.5333,16.11
150,RE,Saint-Philippe,1651936457,76.59,38,80,-21.3585,55.7679,14.52
151,ZA,Richards Bay,1651936832,70.7,0,86,-28.783,32.0377,5.17
152,CD,Bumba,1651936832,85.84,100,57,2.1833,22.4667,3.24
153,AU,Alice Springs,1651936757,42.35,0,65,-23.7,133.8833,0.0
154,NZ,Kaitangata,1651936415,55.02,100,81,-46.2817,169.8464,3.51
155,US,Pacific Grove,1651936596,59.02,0,81,36.6177,-121.9166,8.99
156,CA,Goderich,1651936834,55.72,0,35,43.7501,-81.7165,12.66
157,ML,Taoudenni,1651936834,102.2,0,8,22.6783,-3.9836,8.32
158,MX,Pueblo Nuevo,1651936835,72.43,0,24,23.3833,-105.3833,2.33
159,BR,Itarema,1651936642,85.05,91,67,-2.9248,-39.9167,11.92
160,CN,Ürümqi,1651936836,72.55,20,33,43.801,87.6005,4.47
161,BR,Castro,1651936399,63.19,63,53,-24.7911,-50.0119,5.06
162,GT,Champerico,1651936645,88.34,96,68,14.3,-91.9167,3.53
163,US,Lompoc,1651936426,57.6,100,87,34.6391,-120.4579,23.0
164,BR,Rio Grande,1651936838,75.31,0,65,-32.035,-52.0986,2.93
165,RU,Tommot,1651936712,29.12,60,95,58.9564,126.2925,3.85
166,RU,Bichura,1651936839,44.73,24,69,50.5881,107.6022,4.94
167,US,Saint George,1651936410,77.25,0,19,37.1041,-113.5841,8.05
168,BW,Dekar,1651936840,79.7,6,18,-21.5333,21.9333,7.07
169,ID,Kutoarjo,1651936841,77.99,69,91,-7.7169,109.9128,2.13
170,FR,Saint-François,1651936669,72.68,0,40,46.4154,3.9054,9.22
171,DK,Pandrup,1651936842,57.94,20,58,57.2215,9.6757,13.8
172,ID,Mlonggo,1651936843,80.1,91,84,-6.5333,110.7,3.53
173,PA,Guabito,1651936844,85.62,40,67,9.5,-82.6167,2.48
174,AU,New Norfolk,1651936467,51.93,36,72,-42.7826,147.0587,1.01
175,IN,Kānodar,1651936845,91.83,3,21,24.1,72.3833,9.51
176,RU,Chokurdakh,1651936464,24.8,100,97,70.6333,147.9167,9.22
177,AU,Batemans Bay,1651936846,54.1,2,61,-35.7167,150.1833,7.18
178,MG,Mahajanga,1651936846,82.42,20,78,-15.7167,46.3167,5.75
179,CA,La Ronge,1651936413,47.71,37,69,55.1001,-105.2842,9.22
180,LY,Jalu,1651936593,93.97,100,10,29.0331,21.5482,12.46
181,BR,Acaraú,1651936848,85.19,89,67,-2.8856,-40.12,11.21
182,GL,Narsaq,1651936469,53.82,100,77,60.9167,-46.05,3.49
183,ML,Gao,1651936659,107.1,98,9,16.6362,1.637,10.56
184,PK,Sohbatpur,1651936849,103.93,0,7,28.5202,68.5434,5.3
185,PE,Pisco,1651936640,68.05,75,83,-13.7,-76.2167,9.22
186,KZ,Zharkent,1651936468,72.12,66,45,44.1628,80.0,7.09
187,RU,Egvekinot,1651936691,21.13,100,96,66.3167,-179.1667,2.1
188,NZ,Kaeo,1651936663,53.33,87,95,-35.1,173.7833,4.83
189,ID,Sabang,1651936523,82.49,96,76,5.8933,95.3214,21.92
190,MU,Bambous Virieux,1651936406,78.22,30,78,-20.3428,57.7575,14.9
191,OM,Salalah,1651936510,86.09,20,74,17.0151,54.0924,10.36
192,RU,Sangar,1651936546,22.59,100,96,63.9242,127.4739,2.89
193,MN,Darhan,1651936852,49.19,0,55,49.4867,105.9228,6.73
194,RU,Palana,1651936853,30.36,100,97,59.1167,159.9667,30.31
195,RU,Kozhva,1651936854,39.09,100,98,65.1073,57.0459,6.04
196,ID,Luwuk,1651936854,78.98,100,90,-0.9516,122.7875,1.34
197,NZ,Dunedin,1651936566,61.81,100,57,-45.8742,170.5036,5.37
198,US,Fairbanks,1651936502,38.82,100,94,64.8378,-147.7164,3.44
199,JP,Nemuro,1651936564,47.14,100,98,43.3236,145.575,27.63
200,RO,Asău,1651936488,63.52,47,45,46.4333,26.4,6.49
201,MZ,Chibuto,1651936856,75.02,0,60,-24.6867,33.5306,4.61
202,NZ,Tuatapere,1651936857,54.03,73,90,-46.1333,167.6833,5.75
203,NO,Rørvik,1651936857,39.97,100,62,64.8621,11.2373,30.74
204,PG,Samarai,1651936858,82.6,100,81,-10.6167,150.6667,11.05
205,PT,Lata,1651936859,82.49,100,35,40.1629,-8.3327,6.53
206,UZ,Almazar,1651936860,82.24,0,32,40.3217,69.0106,7.87
207,NC,Vao,1651936860,74.43,4,71,-22.6667,167.4833,23.33
208,US,Hilo,1651936309,80.28,100,91,19.7297,-155.09,8.05
209,RU,Cherskiy,1651936530,27.54,100,98,68.75,161.3,1.54
210,CD,Butembo,1651936862,68.02,40,80,0.15,29.2833,2.06
211,ML,Sokolo,1651936862,108.1,72,12,14.7328,-6.1219,10.51
212,CO,Puerto Carreño,1651936684,82.44,98,73,6.189,-67.4859,1.1
213,GF,Cayenne,1651936466,81.09,75,1,4.9333,-52.3333,3.44
214,LY,Sabha,1651936863,89.91,75,14,27.0377,14.4283,7.07
215,GL,Qaanaaq,1651936502,17.94,99,75,77.484,-69.3632,4.05
216,CN,Linjiang,1651936864,37.94,5,50,41.8069,126.9078,1.14
217,ZA,Ulundi,1651936865,68.02,1,66,-28.3352,31.4162,5.79
218,VE,San Cristobal,1651936866,77.18,100,90,7.7669,-72.225,4.0
219,LK,Hambantota,1651936423,82.2,46,80,6.1241,81.1185,14.23
220,AU,Carnarvon,1651936392,64.47,40,72,-24.8667,113.6333,0.0
221,CA,Thompson,1651936283,51.93,46,92,55.7435,-97.8558,10.6
222,TO,Vaini,1651936452,71.76,75,94,-21.2,-175.2,0.0
